ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
44143,"Katharina Anna ""Katrin"" Gutensohn (-Knopf-)",F,43,171,58,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,NA
44459,Anja Haas,F,22,179,75,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Downhill,NA
44459,Anja Haas,F,22,179,75,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Combined,NA
44573,Christian Hackl,M,28,184,92,Austria-2,AUT,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,NA
44573,Christian Hackl,M,28,184,92,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,NA
44627,Michael Florian Hadschieff,M,20,185,75,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Speed Skating,Speed Skating Men's 500 metres,NA
44627,Michael Florian Hadschieff,M,20,185,75,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",NA
44627,Michael Florian Hadschieff,M,20,185,75,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres",NA
44627,Michael Florian Hadschieff,M,20,185,75,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 5,000 metres",NA
44627,Michael Florian Hadschieff,M,20,185,75,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 10,000 metres",NA
44627,Michael Florian Hadschieff,M,24,185,75,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,Speed Skating Men's 500 metres,NA
44627,Michael Florian Hadschieff,M,24,185,75,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 1,000 metres",NA
44627,Michael Florian Hadschieff,M,24,185,75,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
44627,Michael Florian Hadschieff,M,24,185,75,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 5,000 metres",NA
44627,Michael Florian Hadschieff,M,24,185,75,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 10,000 metres",Silver
44627,Michael Florian Hadschieff,M,28,185,75,Austria,AUT,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",NA
44627,Michael Florian Hadschieff,M,28,185,75,Austria,AUT,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,500 metres",NA
44627,Michael Florian Hadschieff,M,28,185,75,Austria,AUT,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 5,000 metres",NA
44627,Michael Florian Hadschieff,M,28,185,75,Austria,AUT,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 10,000 metres",NA
44627,Michael Florian Hadschieff,M,30,185,75,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,500 metres",NA
44627,Michael Florian Hadschieff,M,30,185,75,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 5,000 metres",NA
44627,Michael Florian Hadschieff,M,30,185,75,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 10,000 metres",NA
44800,Gerhard Haidacher,M,28,186,87,Austria-1,AUT,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Gold
44800,Gerhard Haidacher,M,30,186,87,Austria-1,AUT,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,NA
44947,Veronika Halder,F,25,165,62,Austria,AUT,2006 Winter,2006,Winter,Torino,Luge,Luge Women's Singles,NA
44947,Veronika Halder,F,29,165,62,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Luge,Luge Women's Singles,NA
45337,Alessandro Hmmerle,M,20,190,82,Austria,AUT,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Boardercross,NA
45549,Peter Handschmann,M,22,178,64,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,NA
45550,"Susanne ""Susi"" Handschmann",F,20,160,47,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,NA
45888,Dieter Happ,M,27,190,90,Austria,AUT,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Giant Slalom,NA
45933,Kurt Harand,M,26,185,90,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
45933,Kurt Harand,M,30,185,90,Austria,AUT,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
46646,Max Hauke,M,21,181,74,Austria,AUT,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
46646,Max Hauke,M,21,181,74,Austria,AUT,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
46646,Max Hauke,M,21,181,74,Austria,AUT,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,NA
46680,Lisa Theresa Hauser,F,20,174,65,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
